GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0041700404,89,8,0,1,9:31 PM,5:07,SUB: Hood FOR G. Hill,,,,,4,201588,George Hill,1610612739.0,Cleveland,Cavaliers,CLE,4,203918,Rodney Hood,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,
0041700404,90,8,0,1,9:31 PM,5:07,SUB: Green FOR Thompson,,,,,4,202684,Tristan Thompson,1610612739.0,Cleveland,Cavaliers,CLE,4,201145,Jeff Green,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,
0041700404,93,1,98,1,9:31 PM,4:54,James  Cutting Layup Shot (4 PTS) (Love 1 AST),,,24 - 15,-9,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,
0041700404,95,2,1,1,9:32 PM,4:31,,,MISS Iguodala 25' 3PT Jump Shot,,,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,96,4,0,1,9:32 PM,4:30,,,Iguodala REBOUND (Off:1 Def:1),,,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,97,6,1,1,9:32 PM,4:30,Hood P.FOUL (P1.T3) (J.Phillips),,,,,4,203918,Rodney Hood,1610612739.0,Cleveland,Cavaliers,CLE,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,1,0,,,,,
0041700404,99,1,108,1,9:32 PM,4:25,,,Durant 2' Cutting Dunk Shot (6 PTS) (Green 3 AST),26 - 15,-11,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW,5,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,101,1,1,1,9:33 PM,3:59,Love 25' 3PT Jump Shot (7 PTS) (Green 1 AST),,,26 - 18,-8,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,4,201145,Jeff Green,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,
0041700404,103,5,1,1,9:33 PM,3:43,Hood STEAL (1 STL),,Curry Bad Pass Turnover (P1.T2),,,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,4,203918,Rodney Hood,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,
0041700404,105,2,1,1,9:33 PM,3:33,MISS Hood 26' 3PT Jump Shot,,,,,4,203918,Rodney Hood,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,106,4,0,1,9:33 PM,3:30,Hood REBOUND (Off:1 Def:0),,,,,4,203918,Rodney Hood,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,107,6,2,1,9:33 PM,3:24,,,Iguodala S.FOUL (P1.T4) (J.Phillips),,,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,1,0,,,,,
0041700404,109,3,11,1,9:34 PM,3:24,Love Free Throw 1 of 2 (8 PTS),,,26 - 19,-7,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,110,3,12,1,9:34 PM,3:24,Love Free Throw 2 of 2 (9 PTS),,,26 - 20,-6,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,111,2,79,1,9:35 PM,3:00,,,MISS Durant 12' Pullup Jump Shot,,,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,112,4,0,1,9:35 PM,2:57,James REBOUND (Off:0 Def:1),,,,,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,113,6,2,1,9:35 PM,2:54,,,Curry S.FOUL (P1.PN) (J.Capers),,,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,4,2747,JR Smith,1610612739.0,Cleveland,Cavaliers,CLE,1,0,,,,,
0041700404,115,3,11,1,9:35 PM,2:54,MISS Smith Free Throw 1 of 2,,,,,4,2747,JR Smith,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,116,4,1,1,9:35 PM,2:54,CAVALIERS Rebound,,,,,2,1610612739,,,,,,0,0,,,,,,0,0,,,,,
0041700404,117,8,0,1,9:35 PM,2:54,,,SUB: Livingston FOR Green,,,5,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,5,2733,Shaun Livingston,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,118,8,0,1,9:35 PM,2:54,,,SUB: Young FOR Curry,,,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,5,201156,Nick Young,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,121,3,12,1,9:36 PM,2:54,Smith Free Throw 2 of 2 (4 PTS),,,26 - 21,-5,4,2747,JR Smith,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
