GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0011300115,351,8,0,3,10:14 PM,3:33,,,SUB: Mahinmi FOR Hibbert,,,5,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,5,101133,Ian Mahinmi,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,352,8,0,3,10:14 PM,3:33,,,SUB: Johnson FOR Stephenson,,,5,202362,Lance Stephenson,1610612754.0,Indiana,Pacers,IND,5,203111,Orlando Johnson,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,353,1,79,3,10:14 PM,3:12,,,George 21' Pullup Jump Shot (18 PTS),63 - 59,-4,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,354,2,79,3,10:14 PM,3:03,MISS Calderon 18' Pullup Jump Shot,,,,,4,101181,Jose Calderon,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0011300115,355,4,0,3,10:15 PM,3:02,,,Mahinmi REBOUND (Off:2 Def:1),,,5,101133,Ian Mahinmi,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,356,2,1,3,10:15 PM,2:49,,,MISS G. Hill 25' 3PT Jump Shot,,,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,357,4,0,3,10:15 PM,2:47,Marion REBOUND (Off:0 Def:4),,,,,4,1890,Shawn Marion,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0011300115,358,5,1,3,10:15 PM,2:34,Carter Bad Pass Turnover (P1.T18),,George STEAL (3 STL),,,4,1713,Vince Carter,1610612742.0,Dallas,Mavericks,DAL,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,359,1,78,3,10:15 PM,2:28,,,George 5' Floating Jump Shot (20 PTS),65 - 59,-6,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,360,5,4,3,10:15 PM,2:18,Blair Traveling Turnover (P3.T19),,,,,4,201971,DeJuan Blair,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,0
0011300115,361,8,0,3,10:15 PM,2:18,SUB: Mekel FOR Calderon,,,,,4,101181,Jose Calderon,1610612742.0,Dallas,Mavericks,DAL,4,203539,Gal Mekel,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,362,8,0,3,10:16 PM,2:18,,,SUB: Watson FOR G. Hill,,,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,5,201228,C.J. Watson,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,363,8,0,3,10:16 PM,2:18,SUB: Ellington FOR Ellis,,,,,4,101145,Monta Ellis,1610612742.0,Dallas,Mavericks,DAL,4,201961,Wayne Ellington,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,364,6,29,3,10:16 PM,2:08,Carter Shooting Block Foul (P2.T4),,,,,4,1713,Vince Carter,1610612742.0,Dallas,Mavericks,DAL,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,0
0011300115,365,3,11,3,10:16 PM,2:08,,,George Free Throw 1 of 2 (21 PTS),66 - 59,-7,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,367,8,0,3,10:16 PM,2:08,SUB: Nowitzki FOR Marion,,,,,4,1890,Shawn Marion,1610612742.0,Dallas,Mavericks,DAL,4,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,368,3,12,3,10:17 PM,2:08,,,George Free Throw 2 of 2 (22 PTS),67 - 59,-8,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,370,1,42,3,10:17 PM,1:54,Carter 1' Driving Layup (8 PTS),,,67 - 61,-6,4,1713,Vince Carter,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0011300115,371,2,63,3,10:17 PM,1:39,,,MISS West 8' Fadeaway Jumper,,,5,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,372,4,0,3,10:17 PM,1:38,Blair REBOUND (Off:1 Def:1),,,,,4,201971,DeJuan Blair,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0011300115,373,2,1,3,10:17 PM,1:24,MISS Nowitzki 18' Jump Shot,,,,,4,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0011300115,374,4,0,3,10:17 PM,1:23,,,Watson REBOUND (Off:0 Def:2),,,5,201228,C.J. Watson,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,375,6,1,3,10:18 PM,1:19,Nowitzki P.FOUL (P2.PN),,,,,4,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,5,2561,David West,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,0
0011300115,376,3,11,3,10:18 PM,1:19,,,West Free Throw 1 of 2 (7 PTS),68 - 61,-7,5,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,378,3,12,3,10:18 PM,1:19,,,West Free Throw 2 of 2 (8 PTS),69 - 61,-8,5,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,381,6,4,3,10:19 PM,1:10,Carter OFF.Foul (P3),,,,,4,1713,Vince Carter,1610612742.0,Dallas,Mavericks,DAL,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,0
0011300115,382,5,5,3,10:19 PM,1:10,Carter Foul Turnover (P2.T20),,,,,4,1713,Vince Carter,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,0
0011300115,383,6,4,3,10:19 PM,1:05,,,Watson OFF.Foul (P1),,,5,201228,C.J. Watson,1610612754.0,Indiana,Pacers,IND,4,203539,Gal Mekel,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,0
0011300115,384,5,5,3,10:19 PM,1:05,,,Watson Foul Turnover (P1.T14),,,5,201228,C.J. Watson,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,1,0,,,,,,0
