index,Unnamed: 0,primaryKey,season,seasonType,gameId,gameDate,period,secondsElapsed,team1Score,team2Score,offenseTeamId1,offensePlayer1Id,offensePlayer2Id,offensePlayer3Id,offensePlayer4Id,offensePlayer5Id,defenseTeamId2,defensePlayer1Id,defensePlayer2Id,defensePlayer3Id,defensePlayer4Id,defensePlayer5Id,points,expectedPoints,defensiveRebounds,offensiveRebounds,opponentDefensiveRebounds,opponentOffensiveRebounds,offensiveFouls,defensiveFouls,turnovers,fieldGoalAttempts,fieldGoals,threePtAttempts,threePtMade,freeThrowAttempts,freeThrowsMade,possessions,seconds,dt,adjustedPoints
26703,26703,72_0022100063_1610612763,2021-22,Regular Season,22100063,1635307200000,1,349,,,1610612763,203500,1628991,1629001,1629630,1630217,1610612757,203081,203468,203496,203994,1629642,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,20,2021-10-29T13:59:40.216,0.0
26704,26704,72_0022100069_1610612742,2021-22,Regular Season,22100069,1635393600000,1,327,18.0,3.0,1610612742,203501,1626161,1628467,1628973,1629029,1610612759,1627749,1627751,1628401,1629022,1630170,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,11,2021-10-29T13:59:40.216,2.0
26707,26707,730_0022100053_1610612759,2021-22,Regular Season,22100053,1635220800000,5,2928,,,1610612759,1627749,1627751,1628401,1628966,1630170,1610612747,2546,201566,203076,203145,1628370,0.0,1.0050708992281194,0,0,1,0,0,0,0,1,0,1,0,0,0,1,24,2021-10-29T13:59:40.216,0.0
26709,26709,731_0022100005_1610612752,2021-22,Regular Season,22100005,1634702400000,5,3018,,,1610612752,202689,203095,203944,1629011,1629628,1610612738,203471,203935,1627759,1628369,1629057,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,18,2021-10-29T13:59:40.216,0.0
26710,26710,731_0022100042_1610612749,2021-22,Regular Season,22100042,1635134400000,4,2845,,,1610612749,203114,203507,203648,1626192,1628960,1610612754,203200,1627734,1627763,1629048,1630537,3.0,3.0,0,1,0,0,0,0,0,1,1,0,0,2,1,1,6,2021-10-29T13:59:40.216,3.0
26713,26713,732_0022100003_1610612766,2021-22,Regular Season,22100003,1634702400000,4,2866,,,1610612766,202330,203486,1626162,1628970,1630163,1610612754,203087,1627734,1627763,1628470,1630537,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,22,2021-10-29T13:59:40.216,0.0
26714,26714,732_0022100041_1610612738,2021-22,Regular Season,22100041,1635134400000,5,2928,,,1610612738,203471,203935,1627759,1628369,1629057,1610612766,202330,203486,1626162,1628970,1630163,2.0,2.0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,17,2021-10-29T13:59:40.216,2.0
26716,26716,732_0022100053_1610612747,2021-22,Regular Season,22100053,1635220800000,5,2940,,,1610612747,2546,201566,203076,203145,1628370,1610612759,1627749,1627751,1628401,1628966,1630170,1.0,2.4506230675871947,0,1,1,0,0,0,0,1,0,1,0,2,1,1,29,2021-10-29T13:59:40.216,1.0
26718,26718,733_0022100005_1610612738,2021-22,Regular Season,22100005,1634702400000,5,3037,,,1610612738,203471,203935,1627759,1628369,1629057,1610612752,202689,203095,203944,1629011,1629628,0.0,1.0089627741309946,0,0,1,0,0,0,0,1,0,1,0,0,0,1,19,2021-10-29T13:59:40.216,0.0
26720,26720,733_0022100026_1610612758,2021-22,Regular Season,22100026,1634875200000,4,2867,110.0,101.0,1610612758,203084,1627741,1628368,1630169,1630558,1610612762,201144,202711,203497,1626220,1628378,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,2021-10-29T13:59:40.216,2.0
26722,26722,733_0022100031_1610612740,2021-22,Regular Season,22100031,1634961600000,4,2867,,,1610612740,1627742,1628984,1629638,1630529,1630530,1610612750,1626156,1629162,1629675,1630162,1630183,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2021-10-29T13:59:40.216,0.0
26724,26724,733_0022100040_1610612747,2021-22,Regular Season,22100040,1635048000000,4,2879,118.0,121.0,1610612747,2544,2546,201566,203076,203145,1610612763,203500,1628991,1629001,1629630,1630217,1.0,0.8140000000000001,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2021-10-29T13:59:40.216,1.0
26726,26726,734_0022100003_1610612754,2021-22,Regular Season,22100003,1634702400000,4,2868,,,1610612754,203087,1627734,1627763,1628470,1630537,1610612766,202330,203486,1626162,1628970,1630163,2.0,1.358,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2021-10-29T13:59:40.216,2.0
26729,26729,735_0022100005_1610612752,2021-22,Regular Season,22100005,1634702400000,5,3059,,,1610612752,202689,203095,203944,1629011,1629628,1610612738,203471,203935,1627759,1628369,1629057,0.0,0.9985549031369008,0,0,1,0,0,0,0,1,0,1,0,0,0,1,22,2021-10-29T13:59:40.216,0.0
26731,26731,735_0022100031_1610612750,2021-22,Regular Season,22100031,1634961600000,4,2871,,,1610612750,1626156,1629162,1629675,1630162,1630183,1610612740,1627742,1628984,1629638,1630529,1630530,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2021-10-29T13:59:40.216,0.0
26733,26733,735_0022100041_1610612766,2021-22,Regular Season,22100041,1635134400000,5,2943,126.0,124.0,1610612766,202330,203486,1626162,1628970,1630163,1610612738,203471,203935,1627759,1628369,1629057,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,11,2021-10-29T13:59:40.216,2.0
26734,26734,736_0022100041_1610612738,2021-22,Regular Season,22100041,1635134400000,5,2963,,,1610612738,203471,203935,1627759,1628369,1629057,1610612766,202330,203486,1626162,1628970,1630163,0.0,1.1537307132710637,0,0,1,0,0,0,0,1,0,1,0,0,0,1,22,2021-10-29T13:59:40.216,0.0
26736,26736,737_0022100005_1610612738,2021-22,Regular Season,22100005,1634702400000,5,3071,,,1610612738,203471,203935,1627759,1628369,1629057,1610612752,202689,203095,203944,1629011,1629628,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,12,2021-10-29T13:59:40.216,0.0
26738,26738,737_0022100031_1610612740,2021-22,Regular Season,22100031,1634961600000,4,2877,,,1610612740,1627742,1628984,1629638,1630529,1630530,1610612750,1626156,1629162,1629675,1630162,1630183,2.0,2.457,0,0,0,0,0,0,0,0,0,0,0,3,2,1,6,2021-10-29T13:59:40.216,2.0
26741,26741,738_0022100003_1610612766,2021-22,Regular Season,22100003,1634702400000,4,2868,,,1610612766,202330,203486,1626162,1628970,1630163,1610612754,203087,1627734,1627763,1628470,1630537,2.0,1.4040000000000001,0,1,0,0,0,0,0,1,0,0,0,2,2,1,8,2021-10-29T13:59:40.216,2.0
26743,26743,738_0022100041_1610612766,2021-22,Regular Season,22100041,1635134400000,5,2973,126.0,127.0,1610612766,202330,203486,1626162,1628970,1630163,1610612738,203471,203935,1627759,1628369,1629057,3.0,0.8387126527879314,0,0,0,0,0,0,0,1,1,1,1,0,0,1,8,2021-10-29T13:59:40.216,3.0
26745,26745,739_0022100005_1610612752,2021-22,Regular Season,22100005,1634702400000,5,3089,,,1610612752,202689,203095,203944,1629011,1629628,1610612738,203471,203935,1627759,1628369,1629057,0.0,1.1247763327544789,0,0,1,0,0,0,0,1,0,1,0,0,0,1,18,2021-10-29T13:59:40.216,0.0
26746,26746,739_0022100041_1610612738,2021-22,Regular Season,22100041,1635134400000,5,2991,,,1610612738,203471,203935,1627759,1628369,1629057,1610612766,202330,203486,1626162,1628970,1630163,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,2021-10-29T13:59:40.216,0.0
