,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
297,203090,Maurice Harkless,-0.83,406.0,-0.45,373.0,-0.38,353.0,8
298,203095,Evan Fournier,0.22,171.0,0.22,157.0,0.0,231.0,8
299,203107,Tomas Satoransky,-0.25,309.0,-0.27,337.0,0.02,217.0,8
300,203109,Jae Crowder,-1.34,444.0,-1.53,468.0,0.19,166.0,8
301,203110,Draymond Green,-0.69,389.0,-0.07,279.0,-0.62,397.0,8
302,203114,Khris Middleton,1.8,12.0,1.34,8.0,0.46,92.0,8
303,203115,Will Barton,0.6,98.0,0.38,113.0,0.22,158.0,8
304,203118,Mike Scott,0.87,70.0,0.5,87.0,0.37,114.0,8
305,203124,Kyle OQuinn,-0.92,414.0,-0.84,434.0,-0.08,268.0,8
306,203145,Kent Bazemore,-0.92,413.0,0.34,124.0,-1.26,465.0,8
307,203200,Justin Holiday,0.34,142.0,0.15,179.0,0.19,165.0,8
308,203210,JaMychal Green,0.86,72.0,0.6,68.0,0.26,145.0,8
309,203382,Aron Baynes,0.29,156.0,-0.5,383.0,0.78,51.0,8
310,203457,Nerlens Noel,-0.46,346.0,-0.07,278.0,-0.38,354.0,8
311,203458,Alex Len,-1.03,420.0,-0.55,397.0,-0.48,373.0,8
312,203459,Allen Crabbe,-1.13,425.0,-0.48,378.0,-0.66,404.0,8
313,203463,Ben McLemore,1.93,9.0,-0.57,402.0,2.49,1.0,8
314,203468,CJ McCollum,0.74,84.0,-0.36,357.0,1.1,23.0,8
315,203469,Cody Zeller,-1.39,449.0,-1.2,463.0,-0.19,308.0,8
316,203471,Dennis Schroder,1.27,31.0,1.13,13.0,0.15,181.0,8
317,203473,Dewayne Dedmon,-0.16,292.0,0.25,148.0,-0.41,360.0,8
318,203476,Gorgui Dieng,-1.0,418.0,0.59,70.0,-1.59,472.0,8
319,203482,Kelly Olynyk,-0.6,371.0,-0.31,346.0,-0.29,337.0,8
320,203484,Kentavious Caldwell-Pope,0.31,147.0,-0.21,327.0,0.53,79.0,8
321,203486,Mason Plumlee,0.03,219.0,0.32,130.0,-0.28,334.0,8
322,203487,Michael Carter-Williams,0.31,148.0,-0.03,256.0,0.33,123.0,8
323,203488,Mike Muscala,-0.08,264.0,0.7,55.0,-0.78,424.0,8
324,203490,Otto Porter Jr.,0.18,177.0,-0.26,336.0,0.44,95.0,8
