,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
261,202357,Nemanja Bjelica,-0.61,374.0,-0.69,409.0,0.08,200.0,110.2
262,202397,Ish Smith,-1.0,414.0,-1.21,456.0,0.21,157.0,110.2
263,202681,Kyrie Irving,-0.28,319.0,-0.63,403.0,0.35,117.0,110.2
264,202683,Enes Kanter,1.26,38.0,0.43,105.0,0.83,45.0,110.2
265,202684,Tristan Thompson,-0.67,384.0,-0.05,270.0,-0.62,402.0,110.2
266,202685,Jonas Valanciunas,0.18,163.0,0.48,90.0,-0.31,339.0,110.2
267,202687,Bismack Biyombo,-0.54,361.0,0.0,244.0,-0.54,384.0,110.2
268,202688,Brandon Knight,-0.34,330.0,-0.27,337.0,-0.07,249.0,110.2
269,202689,Kemba Walker,1.73,20.0,-0.35,355.0,2.09,2.0,110.2
270,202692,Alec Burks,-1.34,443.0,-0.56,397.0,-0.78,425.0,110.2
271,202693,Markieff Morris,-1.58,454.0,-0.62,402.0,-0.96,448.0,110.2
272,202694,Marcus Morris,-0.66,381.0,-0.82,431.0,0.15,172.0,110.2
273,202695,Kawhi Leonard,2.82,4.0,1.69,3.0,1.13,21.0,110.2
274,202696,Nikola Vucevic,0.9,69.0,0.7,53.0,0.2,160.0,110.2
275,202697,Iman Shumpert,-0.9,406.0,-0.29,344.0,-0.61,398.0,110.2
276,202699,Tobias Harris,0.95,63.0,0.75,47.0,0.2,162.0,110.2
277,202704,Reggie Jackson,-0.03,240.0,0.21,154.0,-0.24,325.0,110.2
278,202709,Cory Joseph,-0.43,347.0,-0.36,358.0,-0.07,251.0,110.2
279,202710,Jimmy Butler,2.37,6.0,1.24,12.0,1.14,20.0,110.2
280,202711,Bojan Bogdanovic,1.93,15.0,0.45,97.0,1.48,9.0,110.2
281,202718,Chandler Parsons,-0.8,395.0,-0.38,362.0,-0.42,366.0,110.2
282,202722,Davis Bertans,1.07,49.0,-0.69,410.0,1.76,5.0,110.2
283,202734,ETwaun Moore,0.22,157.0,0.22,150.0,-0.01,228.0,110.2
284,202738,Isaiah Thomas,-0.81,398.0,-1.44,466.0,0.62,68.0,110.2
285,202954,Brad Wanamaker,0.76,79.0,1.33,10.0,-0.57,391.0,110.2
286,203076,Anthony Davis,1.02,53.0,0.7,52.0,0.33,125.0,110.2
287,203077,Michael Kidd-Gilchrist,0.52,109.0,0.42,106.0,0.1,189.0,110.2
288,203078,Bradley Beal,-1.74,464.0,-2.71,473.0,0.97,29.0,110.2
289,203081,Damian Lillard,0.78,75.0,-0.17,319.0,0.95,33.0,110.2
290,203082,Terrence Ross,-0.75,393.0,-0.1,292.0,-0.65,411.0,110.2
291,203083,Andre Drummond,-0.3,323.0,-0.23,333.0,-0.07,252.0,110.2
292,203084,Harrison Barnes,-0.03,238.0,0.05,223.0,-0.08,257.0,110.2
293,203085,Austin Rivers,0.19,161.0,-0.78,429.0,0.97,30.0,110.2
294,203086,Meyers Leonard,0.48,116.0,0.6,75.0,-0.12,282.0,110.2
295,203087,Jeremy Lamb,0.34,138.0,-0.08,283.0,0.42,104.0,110.2
296,203089,John Henson,0.15,172.0,-0.05,269.0,0.2,163.0,110.2
297,203090,Maurice Harkless,-0.58,370.0,-0.15,311.0,-0.43,367.0,110.2
298,203095,Evan Fournier,-0.06,252.0,-0.15,312.0,0.09,196.0,110.2
299,203107,Tomas Satoransky,0.13,178.0,0.21,158.0,-0.08,258.0,110.2
300,203109,Jae Crowder,-1.13,427.0,-1.16,454.0,0.03,214.0,110.2
301,203110,Draymond Green,-0.88,405.0,-0.1,293.0,-0.79,426.0,110.2
302,203114,Khris Middleton,2.11,13.0,1.17,18.0,0.94,35.0,110.2
303,203115,Will Barton,1.54,25.0,1.1,23.0,0.44,101.0,110.2
304,203118,Mike Scott,1.43,27.0,0.67,58.0,0.76,53.0,110.2
