,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
93,1628373,Frank Ntilikina,-0.22,306.0,-0.1,295.0,-0.13,281.0
94,1628374,Lauri Markkanen,-0.67,382.0,0.2,163.0,-0.86,433.0
95,1628378,Donovan Mitchell,0.68,88.0,-0.28,345.0,0.96,33.0
96,1628379,Luke Kennard,0.08,191.0,-0.44,374.0,0.51,85.0
97,1628380,Zach Collins,0.44,123.0,0.2,160.0,0.24,147.0
98,1628381,John Collins,-0.35,334.0,0.59,76.0,-0.94,443.0
99,1628382,Justin Jackson,0.11,181.0,-0.53,392.0,0.64,66.0
100,1628383,Justin Patton,-0.05,243.0,-0.07,278.0,0.03,217.0
101,1628384,OG Anunoby,1.38,29.0,0.9,32.0,0.48,91.0
102,1628385,Harry Giles III,-0.24,311.0,0.03,237.0,-0.26,333.0
103,1628386,Jarrett Allen,0.46,118.0,0.03,234.0,0.43,99.0
104,1628388,TJ Leaf,0.07,192.0,0.57,79.0,-0.5,382.0
105,1628389,Bam Adebayo,1.12,45.0,0.59,77.0,0.53,81.0
106,1628390,Terrance Ferguson,-0.87,402.0,-0.69,409.0,-0.18,303.0
107,1628391,D.J. Wilson,-0.54,364.0,-0.43,371.0,-0.11,271.0
