PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,SEASON,SEASON_TYPE
1627820,"Tyrone Wallace",1610612737,ATL,25,14,3,11,0.214,160.378,14,44,0.318,1,15,0.067,11,17,0.647,3,19,22,13,10,7,1,5,19,14,40,-32,99.9,0,0,2019-20,"Regular Season"
1627823,"Juancho Hernangomez",1610612743,DEN,24,18,11,7,0.611,224.563,25,64,0.391,12,39,0.308,7,13,0.538,11,30,41,11,10,1,3,2,15,20,69,24,136.7,0,0,2019-20,"Regular Season"
1627826,"Ivica Zubac",1610612746,LAC,22,33,23,10,0.697,559.59,107,181,0.591,0,2,0,61,84,0.726,74,138,212,30,31,7,30,17,78,57,275,66,654.4,4,0,2019-20,"Regular Season"
1627827,"Dorian Finney-Smith",1610612742,DAL,26,30,20,10,0.667,851.473,97,198,0.49,42,111,0.378,32,45,0.711,55,102,157,39,29,19,14,11,62,34,268,118,584.9,1,0,2019-20,"Regular Season"
1627832,"Fred VanVleet",1610612761,TOR,25,26,17,9,0.654,945.13,153,378,0.405,63,171,0.368,102,117,0.872,6,96,102,181,67,53,5,27,56,105,471,54,971.9,5,0,2019-20,"Regular Season"
1627846,"Abdel Nader",1610612760,OKC,26,24,14,10,0.583,435.513,60,127,0.472,26,65,0.4,24,30,0.8,8,34,42,17,23,9,9,4,36,24,170,-16,276.9,0,0,2019-20,"Regular Season"
1627853,"Ryan Arcidiacono",1610612741,CHI,25,32,12,20,0.375,490.973,44,112,0.393,28,67,0.418,18,24,0.75,14,41,55,50,18,14,2,8,54,44,134,-23,305,0,0,2019-20,"Regular Season"
1627854,"Bryn Forbes",1610612759,SAS,26,30,12,18,0.4,771.302,120,299,0.401,66,185,0.357,37,43,0.86,8,64,72,53,25,13,0,19,54,27,343,-132,522.9,0,0,2019-20,"Regular Season"
1627863,"Danuel House Jr.",1610612745,HOU,26,25,17,8,0.68,759.285,94,213,0.441,56,141,0.397,35,46,0.761,30,69,99,32,22,26,14,9,57,40,279,92,543.8,0,0,2019-20,"Regular Season"
1627884,"Derrick Jones Jr.",1610612748,MIA,22,17,13,4,0.765,371.365,48,94,0.511,9,33,0.273,28,38,0.737,14,47,61,16,12,18,9,5,40,35,133,13,299.2,0,0,2019-20,"Regular Season"
1627885,"Shaquille Harrison",1610612741,CHI,26,18,8,10,0.444,147.257,20,49,0.408,3,10,0.3,11,18,0.611,6,24,30,22,6,8,4,4,17,13,54,28,153,1,0,2019-20,"Regular Season"
1627936,"Alex Caruso",1610612747,LAL,25,29,23,6,0.793,583.413,56,129,0.434,20,59,0.339,25,33,0.758,6,55,61,49,26,31,8,10,43,49,157,119,394.7,0,0,2019-20,"Regular Season"
1627982,"Josh Gray",1610612740,NOP,26,2,1,1,0.5,22.7167,1,2,0.5,0,0,0,0,0,0,1,1,2,2,5,0,0,0,1,1,2,-7,2.4,0,0,2019-20,"Regular Season"
1628021,"David Nwaba",1610612751,BKN,26,20,8,12,0.4,268.46,37,71,0.521,12,28,0.429,18,27,0.667,8,37,45,8,8,11,12,6,32,19,104,35,231,0,0,2019-20,"Regular Season"
1628035,"Alfonzo McKinnie",1610612739,CLE,27,20,4,16,0.2,190.322,19,54,0.352,8,25,0.32,7,11,0.636,11,26,37,3,8,7,3,6,22,8,53,-28,123.9,0,0,2019-20,"Regular Season"
1628365,"Markelle Fultz",1610612753,ORL,21,30,14,16,0.467,782.143,144,301,0.478,14,51,0.275,49,67,0.731,12,72,84,126,58,34,7,18,60,52,351,-22,705.8,0,0,2019-20,"Regular Season"
1628366,"Lonzo Ball",1610612740,NOP,22,24,5,19,0.208,666.14,91,243,0.374,46,138,0.333,14,28,0.5,26,93,119,124,62,30,6,13,46,27,242,-115,616.8,2,0,2019-20,"Regular Season"
1628368,"De'Aaron Fox",1610612758,SAC,22,14,3,11,0.214,410.213,86,185,0.465,15,45,0.333,59,86,0.686,13,43,56,89,48,16,5,11,38,74,246,-48,461.7,2,0,2019-20,"Regular Season"
1628369,"Jayson Tatum",1610612738,BOS,21,29,22,7,0.759,988.225,228,543,0.42,74,204,0.363,95,112,0.848,36,170,206,83,62,39,24,22,65,99,625,281,1123.7,4,0,2019-20,"Regular Season"
1628370,"Malik Monk",1610612766,CHA,21,33,12,21,0.364,665.107,115,261,0.441,32,120,0.267,38,46,0.826,12,79,91,73,44,15,6,12,48,40,300,-56,537.7,1,0,2019-20,"Regular Season"
1628371,"Jonathan Isaac",1610612753,ORL,22,29,12,17,0.414,884.278,134,294,0.456,29,86,0.337,53,66,0.803,46,157,203,40,45,39,75,9,74,70,350,7,950.6,5,0,2019-20,"Regular Season"
1628372,"Dennis Smith Jr.",1610612752,NYK,22,21,3,18,0.143,338.525,41,126,0.325,12,41,0.293,15,30,0.5,13,31,44,57,30,10,7,9,44,27,109,-124,268.3,0,0,2019-20,"Regular Season"
