playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
1628988,Aaron Holiday,0.82,74.0,0.43,103.0,0.39,109.0,2
1628989,Kevin Huerter,-1.31,440.0,-0.53,386.0,-0.78,425.0,2
1628990,Chandler Hutchison,-0.63,376.0,0.15,177.0,-0.78,423.0,2
1628991,Jaren Jackson Jr.,-1.22,435.0,-1.1,450.0,-0.12,280.0,2
1628993,Alize Johnson,0.05,199.0,-0.09,292.0,0.15,171.0,2
1628995,Kevin Knox,-1.78,465.0,-0.72,416.0,-1.06,452.0,2
1629001,DeAnthony Melton,1.57,23.0,0.48,92.0,1.09,21.0,2
1629002,Chimezie Metu,0.08,190.0,0.12,192.0,-0.05,251.0,2
1629003,Shake Milton,-0.19,296.0,0.18,165.0,-0.37,353.0,2
1629004,Svi Mykhailiuk,0.39,135.0,0.03,230.0,0.36,118.0,2
1629006,Josh Okogie,0.28,155.0,0.41,106.0,-0.13,284.0,2
1629010,Jerome Robinson,0.58,100.0,0.26,137.0,0.32,127.0,2
1629011,Mitchell Robinson,-0.34,321.0,-0.43,376.0,0.1,188.0,2
1629012,Collin Sexton,-1.5,451.0,-1.52,469.0,0.02,221.0,2
1629013,Landry Shamet,-0.76,395.0,-0.41,372.0,-0.35,349.0,2
1629014,Anfernee Simons,-2.3,472.0,-1.45,466.0,-0.85,436.0,2
1629016,Omari Spellman,-1.09,421.0,-0.51,384.0,-0.58,394.0,2
1629017,Khyri Thomas,-0.07,245.0,0.06,218.0,-0.13,283.0,2
1629018,Gary Trent Jr.,-0.08,253.0,-0.25,338.0,0.17,165.0,2
1629019,Allonzo Trier,-0.82,399.0,-0.34,360.0,-0.48,372.0,2
1629020,Jarred Vanderbilt,-0.02,226.0,-0.09,288.0,0.06,205.0,2
1629021,Moritz Wagner,0.04,207.0,-0.09,291.0,0.12,180.0,2
1629022,Lonnie Walker IV,0.8,75.0,0.82,40.0,-0.02,240.0,2
1629026,Kenrich Williams,0.15,170.0,0.13,189.0,0.02,219.0,2
1629027,Trae Young,-0.9,410.0,-1.44,465.0,0.53,82.0,2
1629028,Deandre Ayton,0.33,140.0,0.47,95.0,-0.14,292.0,2
1629029,Luka Doncic,1.4,31.0,-0.15,310.0,1.55,8.0,2
1629033,Theo Pinson,-0.54,360.0,0.48,91.0,-1.03,450.0,2
1629057,Robert Williams III,-0.26,306.0,-0.69,410.0,0.43,97.0,2
1629058,Dzanan Musa,-0.93,412.0,-0.06,269.0,-0.87,438.0,2
1629059,Elie Okobo,0.4,133.0,-0.31,354.0,0.71,56.0,2
1629066,Rodions Kurucs,-0.1,263.0,0.71,58.0,-0.81,429.0,2
1629067,Isaac Bonga,-0.09,256.0,0.14,180.0,-0.23,319.0,2
1629109,Gary Clark,-0.55,364.0,-0.58,395.0,0.03,216.0,2
1629117,Wenyen Gabriel,-0.23,302.0,-0.07,281.0,-0.16,298.0,2
1629126,Deonte Burton,-0.27,308.0,-0.01,256.0,-0.25,325.0,2
1629130,Duncan Robinson,1.22,42.0,0.37,114.0,0.86,40.0,2
1629133,Daryl Macon,-0.03,234.0,0.17,166.0,-0.2,310.0,2
1629139,Yuta Watanabe,0.11,178.0,0.06,217.0,0.05,213.0,2
1629140,Johnathan Williams,-0.45,346.0,-0.24,334.0,-0.21,314.0,2
1629151,Ryan Broekhoff,-0.09,259.0,0.01,239.0,-0.1,274.0,2
1629164,Brandon Goodwin,-0.27,309.0,0.2,155.0,-0.47,369.0,2
1629168,BJ Johnson,-0.12,272.0,-0.01,251.0,-0.12,278.0,2
1629185,Chris Chiozza,1.08,50.0,1.25,13.0,-0.17,301.0,2
1629234,Drew Eubanks,-0.52,358.0,-0.35,363.0,-0.18,304.0,2
1713,Vince Carter,-0.32,317.0,0.21,153.0,-0.53,378.0,2
200746,LaMarcus Aldridge,-0.92,411.0,-0.37,369.0,-0.55,384.0,2
200752,Rudy Gay,0.66,92.0,0.87,37.0,-0.21,312.0,2
200755,JJ Redick,-0.4,335.0,-1.09,449.0,0.69,63.0,2
200757,Thabo Sefolosha,-0.64,378.0,-0.52,385.0,-0.11,276.0,2
200765,Rajon Rondo,0.22,160.0,0.16,170.0,0.06,207.0,2
200768,Kyle Lowry,0.32,141.0,0.48,93.0,-0.16,299.0,2
200782,PJ Tucker,0.85,71.0,0.01,240.0,0.84,43.0,2
200794,Paul Millsap,2.44,6.0,1.55,6.0,0.9,37.0,2
200826,J.J. Barea,0.41,127.0,0.19,158.0,0.22,155.0,2
201143,Al Horford,1.24,41.0,0.98,26.0,0.26,144.0,2
201144,Mike Conley,-0.47,348.0,0.1,200.0,-0.56,388.0,2
201145,Jeff Green,-1.68,459.0,-0.58,396.0,-1.1,454.0,2
201152,Thaddeus Young,0.1,179.0,1.34,8.0,-1.24,461.0,2
201158,Marco Belinelli,-0.06,242.0,-0.31,353.0,0.25,150.0,2
201162,Jared Dudley,-0.55,362.0,0.33,122.0,-0.88,439.0,2
201163,Wilson Chandler,-0.57,368.0,0.24,144.0,-0.81,430.0,2
201188,Marc Gasol,2.11,12.0,1.66,4.0,0.44,95.0,2
201229,Anthony Tolliver,-1.26,437.0,-0.79,425.0,-0.46,367.0,2
201565,Derrick Rose,-0.1,264.0,-1.33,461.0,1.22,16.0,2
201566,Russell Westbrook,-0.13,277.0,0.53,85.0,-0.67,405.0,2
201567,Kevin Love,-1.53,454.0,-0.99,442.0,-0.55,381.0,2
201568,Danilo Gallinari,-0.06,240.0,-1.14,454.0,1.08,23.0,2
201569,Eric Gordon,-1.12,427.0,-0.99,443.0,-0.13,288.0,2
201571,D.J. Augustin,0.62,96.0,0.91,35.0,-0.29,337.0,2
201572,Brook Lopez,1.57,24.0,0.96,30.0,0.61,72.0,2
201577,Robin Lopez,0.15,169.0,0.05,221.0,0.1,189.0,2
201580,JaVale McGee,0.62,98.0,0.34,121.0,0.28,141.0,2
201583,Ryan Anderson,0.14,171.0,0.03,229.0,0.11,185.0,2
201584,Courtney Lee,0.09,184.0,-0.28,345.0,0.37,116.0,2
201586,Serge Ibaka,-0.9,409.0,-0.34,361.0,-0.56,387.0,2
201587,Nicolas Batum,-0.08,252.0,-0.82,429.0,0.74,54.0,2
201588,George Hill,0.97,58.0,0.32,124.0,0.65,66.0,2
201599,DeAndre Jordan,-0.77,397.0,0.63,68.0,-1.41,471.0,2
